                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.48261,                0.81236,                0.98172,                 1.0816,                0.16328,                  0.125,                 0.1379,                0.12973,                0.16328,                  0.125,                 0.1379,                0.12848,                0.47718,                0.65654,                 6.6146,                 1.1189,             0.00019796,             0.00019796,             0.00019796
                     39,                0.45909,                 0.7157,                0.97221,                 1.0322,                 0.2022,                  0.125,                0.14379,                0.13933,                 0.2022,                  0.125,                0.14379,                0.13393,                0.54487,                0.61462,                 6.4079,                 1.1861,             0.00019354,             0.00019354,             0.00019354
                     40,                0.45923,                0.81185,                0.98793,                 1.0387,                0.14187,                  0.125,                0.13612,                 0.1289,                0.14187,                  0.125,                0.13612,                0.12691,                0.50357,                0.59204,                 6.1818,                 1.1693,             0.00018912,             0.00018912,             0.00018912
                     41,                0.46626,                0.75321,                 1.0495,                 1.0324,                0.20483,                  0.125,                0.13741,                0.13048,                0.20483,                  0.125,                0.13741,                0.12809,                0.51211,                0.57455,                 6.4125,                   1.18,              0.0001847,              0.0001847,              0.0001847
                     42,                0.46699,                 0.7367,                 1.0191,                  1.033,                0.24613,                  0.125,                0.12727,                0.12724,                0.24613,                  0.125,                0.12727,                0.12092,                0.47394,                0.51915,                 6.2083,                 1.1399,             0.00018028,             0.00018028,             0.00018028
                     43,                0.43845,                 0.7713,                0.96128,                 1.0322,                0.20502,                  0.125,                0.13431,                0.13358,                0.20502,                  0.125,                0.13431,                0.12492,                0.48647,                0.54513,                 7.2282,                 1.1362,             0.00017587,             0.00017587,             0.00017587
                     44,                0.45493,                0.69973,                0.96202,                 1.0271,                0.11632,                  0.125,                0.13431,                0.13041,                0.11632,                  0.125,                0.13431,                0.12511,                0.48423,                0.51973,                 6.7616,                 1.1591,             0.00017145,             0.00017145,             0.00017145
                     45,                0.41298,                0.76343,                0.81804,                 1.0207,                0.11674,                  0.125,                 0.1308,                0.12617,                0.11674,                  0.125,                 0.1308,                0.12199,                0.47338,                0.52233,                 6.2757,                 1.1261,             0.00016703,             0.00016703,             0.00016703
                     46,                0.42978,                0.77288,                0.82794,                 1.0061,                0.16236,                  0.125,                0.12553,                0.12139,                0.16236,                  0.125,                0.12553,                0.11712,                0.49263,                0.53675,                 6.5751,                 1.1874,             0.00016261,             0.00016261,             0.00016261
                     47,                0.44256,                0.79902,                0.84597,                 1.0208,                0.16213,                  0.125,                0.12437,                0.12235,                0.16213,                  0.125,                0.12437,                0.11608,                0.47787,                0.55773,                 6.3119,                 1.1481,              0.0001582,              0.0001582,              0.0001582
                     48,                0.43147,                0.71993,                0.84087,                 1.0071,                0.11792,                  0.125,                0.12437,                0.11936,                0.11792,                  0.125,                0.12437,                0.11828,                0.46064,                0.58575,                 6.6005,                 1.1258,             0.00015378,             0.00015378,             0.00015378
                     49,                0.41463,                0.71158,                0.78011,                 1.0024,                0.11701,                  0.125,                0.12437,                0.12134,                0.11701,                  0.125,                0.12437,                0.11608,                0.42927,                0.59278,                 6.5181,                 1.1029,             0.00014936,             0.00014936,             0.00014936
                     50,                0.43062,                0.80751,                0.80812,                 1.0173,                0.11371,                  0.125,                0.12437,                0.12437,                0.11371,                  0.125,                0.12437,                0.11608,                0.45427,                0.61079,                 6.1495,                 1.1068,             0.00014494,             0.00014494,             0.00014494
                     51,                0.42282,                0.69585,                0.81985,                 1.0139,                 0.1156,                  0.125,                0.12437,                0.12437,                 0.1156,                  0.125,                0.12437,                0.12023,                0.46913,                0.57374,                 6.5003,                 1.1159,             0.00014052,             0.00014052,             0.00014052
                     52,                0.41502,                0.85995,                0.78673,                 1.0031,                0.16205,                  0.125,                0.12437,                0.12153,                0.16205,                  0.125,                0.12437,                0.11608,                0.44693,                0.58848,                 6.7246,                 1.1281,             0.00013611,             0.00013611,             0.00013611
                     53,                0.40549,                0.79849,                 0.7764,                 1.0014,                0.20389,                  0.125,                0.12437,                0.12153,                0.20389,                  0.125,                0.12437,                0.11608,                0.43897,                0.56124,                 6.4977,                 1.1326,             0.00013169,             0.00013169,             0.00013169
